"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26","TagStyle__TagContent-sc-66xi2f-0","stylessc__ShieldBadge-sc-1cbkdr9-1 src"
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/b17ec06b-7bd6-43aa-ae9d-6afd1fef03cb?utm_referrer=explore&traceInfo=ff84e061-a69f-4b3e-ad10-294c7d1ebfc6","Rp 8 jt-10 jt","Hybrid","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","+8","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/04b45efb2c09e73d08c1e765c1ebd3f3.jpg","Karuna Baruna Nusantara International (Digital Center)","https://glints.com/id/companies/karuna-baruna-nusantara-international-digital-center/7655358a-6f78-430e-a246-67dc808e68b1","Tebet","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/tebet","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","13 hari yang lalu","",""
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/bb93a041-b831-4672-bf2d-0630a7b6d91d?utm_referrer=explore&traceInfo=ff84e061-a69f-4b3e-ad10-294c7d1ebfc6","Rp 5 jt-7 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Business Analysis","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/293422041d5fbb7fa9afad72805a9996.png","Pt Informatika Media Pratama","https://glints.com/id/companies/pt-informatika-media-pratama/18fae666-2e30-47e5-987c-77e826ad7398","Pasar Rebo","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/pasar-rebo","Jakarta Timur","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","13 hari yang lalu","",""
"Marketing Analyst","https://glints.com/id/opportunities/jobs/marketing-analyst/d2019fca-2de0-4e2b-84d3-3dcd8556fccb?utm_referrer=explore&traceInfo=ff84e061-a69f-4b3e-ad10-294c7d1ebfc6","Rp 5 jt-6 jt","Penuh Waktu","1 – 3 tahun","Minimal SMA/SMK","Microsoft Office","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/834679054cfc56c9f85dee1aadaa47c5.jpg","Eva Bun Group","https://glints.com/id/companies/eva-bun-group/beefb6fa-6271-4777-8d8c-5b266032d124","Gambir","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/gambir","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","14 hari yang lalu","",""
"Social Media Analyst","https://glints.com/id/opportunities/jobs/social-media-analyst/3b08575c-a623-454b-bd5c-85c4ed2c2600?utm_referrer=explore&traceInfo=ff84e061-a69f-4b3e-ad10-294c7d1ebfc6","Rp 4,5 jt-5,5 jt","Penuh Waktu","3 – 5 tahun","Minimal Diploma (D1 - D4)","Social Media Marketing & Management","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/4b57b53b83e0ea5b4e07363a7538adcf.png","skmei smartwach","https://glints.com/id/companies/skmei-smartwach/255fe7cb-981f-43f0-8ce4-26915d4b5a63","Cengkareng","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/cengkareng","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","3 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"System Analyst","https://glints.com/id/opportunities/jobs/system-analyst/cd3db800-a1a4-40ba-b4a5-94e21b035f52?utm_referrer=explore&traceInfo=ff84e061-a69f-4b3e-ad10-294c7d1ebfc6","Rp 7 jt-10 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Agile Methodologies","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ac66f60f4d43ae0561b68c3ecc62369b.jpg","Tujuh Sembilan","https://glints.com/id/companies/tujuh-sembilan/870c4f26-1226-4495-8ff8-1f940b3b6b2e","Cicendo","https://glints.com/id/job-location/indonesia/jawa-barat/bandung/cicendo","Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","15 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/a9ede2c9-4b8a-4b8d-998a-96d6b1a47cdf?utm_referrer=explore&traceInfo=ff84e061-a69f-4b3e-ad10-294c7d1ebfc6","Rp 7 jt-8 jt","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Business Analysis","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/98a48bebca97b818a2f417529e655822.jpeg","PT Gochem Globalindo","https://glints.com/id/companies/pt-gochem-globalindo/07818ce8-ce62-4dcf-9759-bb105150a2a6","Cengkareng","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/cengkareng","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","17 hari yang lalu","",""
"Finance Analyst","https://glints.com/id/opportunities/jobs/finance-analyst/41f67b88-9ea3-42ce-98e5-545185d5df17?utm_referrer=explore&traceInfo=ff84e061-a69f-4b3e-ad10-294c7d1ebfc6","Rp 6 jt-8 jt","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","Microsoft Excel","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/9f45952f7a9597e9c25df7dfe85ea46d.png","PT TIARA VIBRASINDO PRATAMA","https://glints.com/id/companies/pt-tiara-vibrasindo-pratama/f130f15d-fe79-4e83-84b5-7f4c67abcb40","Tanah Abang","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/tanah-abang","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","17 hari yang lalu","",""
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/35be9d94-6bd9-4d44-af0b-5b7deb9df95f?utm_referrer=explore&traceInfo=ff84e061-a69f-4b3e-ad10-294c7d1ebfc6","Rp 15 jt-20 jt","Hybrid","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/bfed6fe811c2f799fc19cec4f61aee7e.jpg","AdIns (Advance Innovations) - PT. Adicipta Inovasi Teknologi","https://glints.com/id/companies/adins-advance-innovations-pt-adicipta-inovasi-teknologi/8201683c-eac1-4cd0-8756-817a09a43876","Kebon Jeruk","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kebon-jeruk","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","19 hari yang lalu","",""
"IT Business Analyst","https://glints.com/id/opportunities/jobs/it-business-analyst/b6f8b101-0361-4846-a5cf-5dd90bc11969?utm_referrer=explore&traceInfo=ff84e061-a69f-4b3e-ad10-294c7d1ebfc6","Rp 8 jt-12 jt","Hybrid","Penuh Waktu","3 – 5 tahun","Minimal Diploma (D1 - D4)","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a93064c77ca955646b624eaf5e85b937.png","PT Mplus Solusi Perdana","https://glints.com/id/companies/pt-mplus-solusi-perdana/60a55daf-86f7-4a8f-8ab6-c9b2871fd615","Kebayoran Baru","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-baru","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","9 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"IT Business Analyst","https://glints.com/id/opportunities/jobs/it-business-analyst/9fd669f4-8063-4eec-a2ad-92294d5d4a6f?utm_referrer=explore&traceInfo=ff84e061-a69f-4b3e-ad10-294c7d1ebfc6","Rp 11 jt-14 jt","Kontrak","3 – 5 tahun","Minimal Sarjana (S1)","Life Insurance","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Kebayoran Lama","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-lama","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","13 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
