"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26"
"IT Business Analyst","https://glints.com/id/opportunities/jobs/it-business-analyst/0cef3de9-6666-4b9b-a114-9b0d90cd2adb?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 9 jt-13 jt","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","Opentext Uft One","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/2996ae5d10b508c1dce9a60ae7cc28af.png","Accelist Lentera Indonesia","https://glints.com/id/companies/accelist-lentera-indonesia/dab9b15a-f867-4e30-a170-7742d66e0560","Tanjung Priok","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/tanjung-priok","Jakarta Utara","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","17 hari yang lalu"
"Quality Control Analyst","https://glints.com/id/opportunities/jobs/quality-control-analyst/f383dfda-2c14-430e-a417-949fcdcb8afc?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 4,7 jt-5,5 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Quality Control","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/99fc9397b9a1d5f05e823307abed36f4.jpg","PT Van Aroma","https://glints.com/id/companies/pt-van-aroma/d8af01ad-b6a3-4086-b8ad-36e7520b7ad9","Gunung Putri","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bogor/gunung-putri","Kab. Bogor","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bogor","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","17 hari yang lalu"
"Corporate Credit Analyst","https://glints.com/id/opportunities/jobs/corporate-credit-analyst/69d14864-dccd-4e32-b8fa-53ca7870cc3b?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 4,5 jt-6 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Communication Skills","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/10f88aa4e27c2905b9169ae2efd70cf1.jpg","PT Clemont Finance Indonesia","https://glints.com/id/companies/pt-clemont-finance-indonesia/850555f0-b24a-4bf5-abc2-821bacdbbe44","Pancoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/pancoran","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","22 hari yang lalu"
"UNPAID Data Engineer","https://glints.com/id/opportunities/jobs/unpaid-data-engineer/717d5ead-4cd7-46c7-928b-5fafec17e8ba?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 1 jt-2 jt","Hybrid","Magang","Kurang dari setahun","Minimal Diploma (D1 - D4)","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5de9ff7d469f6745642e5b928a026972.jpg","Social Economy Accelerator Lab Malang","https://glints.com/id/companies/social-economy-accelerator-lab-malang/5b924d6c-5ea7-483b-bc00-15df0493473f","Gayungan","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya/gayungan","Surabaya","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","1 bulan yang lalu"
"Corporate Planning Analyst","https://glints.com/id/opportunities/jobs/corporate-planning-analyst/450280cc-2557-46ad-8cda-12830fff7573?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 10 jt-15 jt","Penuh Waktu","5 – 10 tahun","Minimal Sarjana (S1)","Accounting","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0ec3d5dc25e0bdfecb8d63d4842382c7.jpg","Lima Pilar Resources","https://glints.com/id/companies/lima-pilar-resources/656aecc7-a8aa-49f2-9858-68e6e4d36308","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","24 hari yang lalu"
"Analis Kimia","https://glints.com/id/opportunities/jobs/analis-kimia/2add311a-e446-44b9-a1c0-6863d4abf5cb?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 5,8 jt-6 jt","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","Teamwork","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/2b198e23664cc0e2ba5421ec34bd32c7.jpg","PT. Sanova","https://glints.com/id/companies/pt-sanova/7ed6e9dc-d9c4-4a26-99d2-781341168af8","Cikarang Timur","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bekasi/cikarang-timur","Kab. Bekasi","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bekasi","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","21 hari yang lalu"
"Investment Analyst Intern","https://glints.com/id/opportunities/jobs/investment-analyst-intern/5c15da4d-53f2-4d61-b595-8956c629f5a9?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 2 jt","Magang","Kurang dari setahun","Minimal Sarjana (S1)","Financial Statements","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/28af3664e7f88503ed6a0f4993e833fc.jpg","PT Qverse Teknologi Indonesia","https://glints.com/id/companies/pt-qverse-teknologi-indonesia/47624a2b-a176-44cb-ab8e-d62e1959e3e0","Pasar Minggu","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/pasar-minggu","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","27 hari yang lalu"
"IT BUSINESS ANALYST","https://glints.com/id/opportunities/jobs/it-business-analyst/fec054ef-5d2e-4cf4-8852-e1f6de448372?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 1 jt-5 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Teamwork","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/2aacf1cefe2ef9f9c9d9b4ff39cc347a.jpg","PT Prawathiya Karsa Pradiptha","https://glints.com/id/companies/pt-prawathiya-karsa-pradiptha/af681ab4-387e-486a-8bf4-7627fe51548a","Jatisampurna","https://glints.com/id/job-location/indonesia/jawa-barat/bekasi/jatisampurna","Bekasi","https://glints.com/id/job-location/indonesia/jawa-barat/bekasi","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","1 bulan yang lalu"
"Business Analyst (ITBA)","https://glints.com/id/opportunities/jobs/business-analyst-itba/8c392eba-9bf2-4620-b047-3d136383a2b8?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 6 jt-12 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Business Analysis","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/86290385ad09dec5464e3e9016e677e1.jpg","Yodu E Money","https://glints.com/id/companies/yodu-e-money/36182226-5b11-4269-aabc-25db9875d7d3","Kebayoran Baru","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-baru","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","1 bulan yang lalu"
"R&D System Analyst","https://glints.com/id/opportunities/jobs/r-and-d-system-analyst/152e0751-3e92-4c25-8620-7e9237d15535?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 8 jt-12 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","System Analysis","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3f3fc74b3c1f0af5090be115d272e774.jpg","PT Usaha Kreatif Indonesia","https://glints.com/id/companies/pt-usaha-kreatif-indonesia/f0ca3b34-08ed-4462-8833-631de3435115","Penjaringan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/penjaringan","Jakarta Utara","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","Kemarin"
"Analis Bisnis","https://glints.com/id/opportunities/jobs/analis-bisnis/78331b8f-e259-4320-bea3-1dc7b8924c32?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 6 jt-9,5 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Analytical Skills","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/814dec6d1fbb2b1b38df10f7de25b85d.png","Pt. Mitra Utama Solusi Telematika","https://glints.com/id/companies/pt-mitra-utama-solusi-telematika/e8c8313b-a58f-4c54-be00-62e4aec67152","Mampang Prapatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/mampang-prapatan","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","20 hari yang lalu"
"Staff Data Entry Media","https://glints.com/id/opportunities/jobs/staff-data-entry-media/fc1af545-95a4-49e0-bbbc-37cb0896f8a0?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 2,9 jt-3,3 jt","Kontrak","1 – 3 tahun","Minimal SMA/SMK","Data Entry","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a44fe567524a87e6a289c8d82899c96c.jpeg","PT Kurasi Media Nusantara","https://glints.com/id/companies/pt-kurasi-media-nusantara/33e0f1e4-799a-4b7d-995e-490a382e593f","Sukajadi","https://glints.com/id/job-location/indonesia/jawa-barat/bandung/sukajadi","Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","20 hari yang lalu"
"Admin Data Entry","https://glints.com/id/opportunities/jobs/admin-data-entry/06e7b96b-23ea-4e4e-8e73-04bd68a7ce61?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 3 jt-3,5 jt","Penuh Waktu","Kurang dari setahun","Minimal Diploma (D1 - D4)","Teamwork","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/84b6779e52e14b72424785f32f2e1a81.png","Squeeze Bali","https://glints.com/id/companies/squeeze-bali/7397e83f-d480-4193-bc89-29e2724e44ee","Denpasar Selatan","https://glints.com/id/job-location/indonesia/bali/denpasar/denpasar-selatan","Denpasar","https://glints.com/id/job-location/indonesia/bali/denpasar","Bali","https://glints.com/id/job-location/indonesia/bali","Kemarin"
"Analis Laboratorium","https://glints.com/id/opportunities/jobs/analis-laboratorium/5388d8d7-621c-485b-9a8f-757145f0772b?utm_referrer=explore&traceInfo=f9021eb96ff7665fbe1a61953967130d","Rp 4 jt-5,5 jt","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","Teamwork","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/033ca1b9496807dae8ca7fcd2165e1c5.png","Laboratorium Amerind Bio-clinic","https://glints.com/id/companies/laboratorium-amerind-bio-clinic/2c4e2624-6a08-4c25-81b8-14da66cba195","Kebon Jeruk","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kebon-jeruk","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","Kemarin"
