"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26","TagStyle__TagContent-sc-66xi2f-0","stylessc__ShieldBadge-sc-1cbkdr9-1 src"
"Analis Business Intelligence","https://glints.com/id/opportunities/jobs/analis-business-intelligence/9db697c6-d298-4a44-8ef4-72222171230e?utm_referrer=explore&traceInfo=1a2811a3-d5ba-4f47-b6f7-8749130ca2e8","Rp 4 jt-4,9 jt","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","Power BI","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/e3156d67ffe1ca9612dfb4f448e038a7.png","PT TOKO SEPATU ISTIMEWA","https://glints.com/id/companies/pt-toko-sepatu-istimewa/a304e89f-6c39-40f6-811c-b3aa076c1fbd","Kemantren Tegalrejo","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/yogyakarta-jogja/kemantren-tegalrejo","Yogyakarta","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/yogyakarta-jogja","DI Yogyakarta","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja","17 hari yang lalu","",""
"IT System Analyst","https://glints.com/id/opportunities/jobs/it-system-analyst/1a3cc099-8070-48cf-b370-aaf1729184ba?utm_referrer=explore&traceInfo=1a2811a3-d5ba-4f47-b6f7-8749130ca2e8","Rp 9 jt-15 jt","Hybrid","Penuh Waktu","5 – 10 tahun","Minimal Sarjana (S1)","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/7da191ef145286161753217e57608b60.png","PT Nusantara Cita Bersama","https://glints.com/id/companies/pt-nusantara-cita-bersama/e39525a3-d5cb-4f14-9d11-e22eade131ea","Serpong","https://glints.com/id/job-location/indonesia/banten/tangerang-selatan/serpong","Tangerang Selatan","https://glints.com/id/job-location/indonesia/banten/tangerang-selatan","Banten","https://glints.com/id/job-location/indonesia/banten","9 hari yang lalu","",""
"IT Business Analyst (For Banking Industry)","https://glints.com/id/opportunities/jobs/it-business-analyst-for-banking-industry/9c055e33-2be3-4531-a59a-e143d6921556?utm_referrer=explore&traceInfo=1a2811a3-d5ba-4f47-b6f7-8749130ca2e8","Rp 10 jt-12 jt","Freelance","3 – 5 tahun","Minimal Sarjana (S1)","Scrum","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Tangerang","https://glints.com/id/job-location/indonesia/banten/tangerang/tangerang","Tangerang","https://glints.com/id/job-location/indonesia/banten/tangerang","Banten","https://glints.com/id/job-location/indonesia/banten","7 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Analis Laboratorium","https://glints.com/id/opportunities/jobs/analis-laboratorium/8526fadf-3173-4675-8d05-be7e63b48797?utm_referrer=explore&traceInfo=1a2811a3-d5ba-4f47-b6f7-8749130ca2e8","Rp 2 jt-3,5 jt","Penuh Waktu","1 – 3 tahun","Minimal SMA/SMK","Discipline","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a6a39104a230e8e796688ca1803b2a0a.jpg","Klinik JB Medical Center","https://glints.com/id/companies/klinik-jb-medical-center/26173fae-1fa8-4843-a7a4-3fdba7979af7","Cikarang Utara","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bekasi/cikarang-utara","Kab. Bekasi","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bekasi","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","13 hari yang lalu","",""
"Analis Data HRIS (Human Resources Information System)","https://glints.com/id/opportunities/jobs/analis-data-hris-human-resources-information-system/9063f6e0-e54f-4ed2-a4fe-828245dd9937?utm_referrer=explore&traceInfo=1a2811a3-d5ba-4f47-b6f7-8749130ca2e8","Rp 4,5 jt-6 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Driving","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/783c542fe87138cc6ce9745f7b5cabb2.jpg","PT. Wonokoyo Jaya Corporindo (Wonokoyo Group)","https://glints.com/id/companies/pt-wonokoyo-jaya-corporindo-wonokoyo-group/0ccad89b-e788-4341-950f-60b6ed8f7aba","Wonokromo","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya/wonokromo","Surabaya","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","23 hari yang lalu","",""
"Staff Data Entry Media","https://glints.com/id/opportunities/jobs/staff-data-entry-media/fc1af545-95a4-49e0-bbbc-37cb0896f8a0?utm_referrer=explore&traceInfo=1a2811a3-d5ba-4f47-b6f7-8749130ca2e8","Rp 2,9 jt-3,3 jt","Kontrak","1 – 3 tahun","Minimal SMA/SMK","Data Entry","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a44fe567524a87e6a289c8d82899c96c.jpeg","PT Kurasi Media Nusantara","https://glints.com/id/companies/pt-kurasi-media-nusantara/33e0f1e4-799a-4b7d-995e-490a382e593f","Sukajadi","https://glints.com/id/job-location/indonesia/jawa-barat/bandung/sukajadi","Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","20 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"System Analys","https://glints.com/id/opportunities/jobs/system-analys/8890191b-6f7b-4d9d-b572-add521528179?utm_referrer=explore&traceInfo=1a2811a3-d5ba-4f47-b6f7-8749130ca2e8","Rp 5 jt-6 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","SQL","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/bb78b0eb4688bd6e314c329bf5134c2a.png","Machine Vision Indonesia","https://glints.com/id/companies/machine-vision-indonesia/dd98e7d3-c863-42a9-94da-bf01d77e6c9f","Lowokwaru","https://glints.com/id/job-location/indonesia/jawa-timur/malang/lowokwaru","Malang","https://glints.com/id/job-location/indonesia/jawa-timur/malang","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","8 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Admin Data Entry","https://glints.com/id/opportunities/jobs/admin-data-entry/06e7b96b-23ea-4e4e-8e73-04bd68a7ce61?utm_referrer=explore&traceInfo=1a2811a3-d5ba-4f47-b6f7-8749130ca2e8","Rp 3 jt-3,5 jt","Penuh Waktu","Kurang dari setahun","Minimal Diploma (D1 - D4)","Teamwork","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/84b6779e52e14b72424785f32f2e1a81.png","Squeeze Bali","https://glints.com/id/companies/squeeze-bali/7397e83f-d480-4193-bc89-29e2724e44ee","Denpasar Selatan","https://glints.com/id/job-location/indonesia/bali/denpasar/denpasar-selatan","Denpasar","https://glints.com/id/job-location/indonesia/bali/denpasar","Bali","https://glints.com/id/job-location/indonesia/bali","Kemarin","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Data Compliance Support","https://glints.com/id/opportunities/jobs/data-compliance-support/70486919-9c4f-4ce1-b29a-87ffc4f8b9e1?utm_referrer=explore&traceInfo=1a2811a3-d5ba-4f47-b6f7-8749130ca2e8","Rp 3 jt-5 jt","Kontrak","1 – 3 tahun","Minimal Diploma (D1 - D4)","Legal Compliance","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/43fe9efb67a21ca13d093a64ba0e45a4.png","PT. Cura Indonesia","https://glints.com/id/companies/pt-cura-indonesia/b609da78-0cff-4470-9696-d471fa0eae85","Medan Kota","https://glints.com/id/job-location/indonesia/sumatra-utara/medan/medan-kota","Medan","https://glints.com/id/job-location/indonesia/sumatra-utara/medan","Sumatera Utara","https://glints.com/id/job-location/indonesia/sumatra-utara","2 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Analis Kimia","https://glints.com/id/opportunities/jobs/analis-kimia/bdf67466-c714-43b4-896c-0df9cbdb2128?utm_referrer=explore&traceInfo=1a2811a3-d5ba-4f47-b6f7-8749130ca2e8","","Penuh Waktu","Kurang dari setahun","Minimal SMA/SMK","Laboratory Skills","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/9d2156c319cd75221d562b26d671722c.jpg","PT Graha Farma","https://glints.com/id/companies/pt-graha-farma/2c588a4c-5eed-4ab8-80f2-18e345d276c1","Kebakkramat","https://glints.com/id/job-location/indonesia/jawa-tengah/kab-karanganyar/kebakkramat","Kab. Karanganyar","https://glints.com/id/job-location/indonesia/jawa-tengah/kab-karanganyar","Jawa Tengah","https://glints.com/id/job-location/indonesia/jawa-tengah","22 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
