"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContent-sc-66xi2f-0","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","stylessc__ShieldBadge-sc-1cbkdr9-1 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26"
"Fraud Analyst","https://glints.com/id/opportunities/jobs/fraud-analyst/b4d55df8-3bbe-4667-9657-3456af512b31?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 7 jt-10 jt","","Kontrak","1 – 3 tahun","Minimal Diploma (D1 - D4)","Risk Management","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3ebe0b9edaf7cf694ecd779d72af71df.jpg","","PT. Nawa Data Solutions","https://glints.com/id/companies/pt-nawa-data-solutions/aca98c95-3655-4178-b943-3330359d8ae8","Menteng","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/menteng","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","Kemarin"
"Logistics Analyst","https://glints.com/id/opportunities/jobs/logistics-analyst/88640052-f071-4601-afed-2c810ac6004d?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 5 jt-7 jt","","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Warehouse Management","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/fb7bfe4af6a94109c1e0e3f796576e58.png","","Pt. Sinotrans Csc Indonesia","https://glints.com/id/companies/pt-sinotrans-csc-indonesia/47116f81-515a-49ee-8175-a66581ed2023","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","19 hari yang lalu"
"Social Media Analyst","https://glints.com/id/opportunities/jobs/social-media-analyst/4523fe40-a5e9-4dfc-9db2-878a9b7d10d7?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 1,5 jt-3 jt","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Affiliate Marketing","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0d9d3b45ed1fbaefd0d3105d39636704.png","https://glints.com/images/icons/vip-badge.svg","PT. Harfia Construction Machinery","https://glints.com/id/companies/pt-harfia-construction-machinery/a94310e8-a784-43f1-8ee2-c9044e6cf21c","Balaraja","https://glints.com/id/job-location/indonesia/banten/kab-tangerang/balaraja","Kab. Tangerang","https://glints.com/id/job-location/indonesia/banten/kab-tangerang","Banten","https://glints.com/id/job-location/indonesia/banten","5 hari yang lalu"
"Support Analyst","https://glints.com/id/opportunities/jobs/support-analyst/fdd25f83-04c7-4a57-bddd-f3935bceec7c?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 4 jt-4,5 jt","","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","Communication Skills","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/23f246171e56f9be99201b308191f5e8.png","","PT. Pinteraktif Media Cabang Bandung","https://glints.com/id/companies/pt-pinteraktif-media-cabang-bandung/edc0df5b-ed3f-45e7-b470-18a010a5184b","Cibeunying Kaler","https://glints.com/id/job-location/indonesia/jawa-barat/bandung/cibeunying-kaler","Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","Kemarin"
"IT System Analyst","https://glints.com/id/opportunities/jobs/it-system-analyst/371ee83e-2f24-431f-b497-2d3816b01693?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","","Perusahaan Premium","Kontrak","3 – 5 tahun","Minimal Diploma (D1 - D4)",".NET","+9","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/de9428828304cf44fde219d0bc156081.png","https://glints.com/images/icons/vip-badge.svg","PT ARKAMAYA.","https://glints.com/id/companies/pt-arkamaya/05b80024-40b8-45af-b044-2c47abfb5824","Bandung Kidul","https://glints.com/id/job-location/indonesia/jawa-barat/bandung/bandung-kidul","Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","27 hari yang lalu"
"IT System Analyst","https://glints.com/id/opportunities/jobs/it-system-analyst/e8488b25-378c-444f-ad96-55226498cfbd?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","","Perusahaan Premium","Penuh Waktu","3 – 5 tahun","Minimal Diploma (D1 - D4)","Go / Golang","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","https://glints.com/images/icons/vip-badge.svg","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","27 hari yang lalu"
"Data Engineer","https://glints.com/id/opportunities/jobs/data-engineer/e16c3538-151b-4b61-a2f2-4f4804f88335?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 6 jt-7,5 jt","Perusahaan Premium","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","Kanban","+10","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/e5c137efb8d2c3585477711162e1530b.png","https://glints.com/images/icons/vip-badge.svg","PT Avows Technologies","https://glints.com/id/companies/pt-avows-technologies/1987829a-4218-47f6-a70f-26e6fcbf3f9b","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","6 hari yang lalu"
"General Data Analyst for Marketing Assistant","https://glints.com/id/opportunities/jobs/general-data-analyst-for-marketing-assistant/f6e35962-6fcc-413a-b763-1b7fefbf785f?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 2 jt-3,5 jt","","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Communication Skills","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/545384a2292df1ed4b273f8433775555.png","","Xprojects Studio","https://glints.com/id/companies/xprojects-studio/69573c4f-2ad5-47c9-8df8-dc482f50a9f5","Rungkut","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya/rungkut","Surabaya","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","8 hari yang lalu"
"System Analyst","https://glints.com/id/opportunities/jobs/system-analyst/a3a94ead-7a74-4455-8f84-60ea9a3404c2?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 8,5 jt-9 jt","Perusahaan Premium","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","SQL","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","https://glints.com/images/icons/vip-badge.svg","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Tanjung Priok","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/tanjung-priok","Jakarta Utara","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","10 hari yang lalu"
"Data Science Lecturer","https://glints.com/id/opportunities/jobs/data-science-lecturer/8f3a6344-757f-451c-9e10-75dafe45b7dc?utm_referrer=explore&traceInfo=c5e553e5-3557-43e3-ad2e-3daedebdfe52","Rp 10 jt-10 jt","","Paruh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Data Analytics","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/dd7ca8d847af8f7796144a57ba9e1106.png","","Purwadhika Digital Technology School","https://glints.com/id/companies/purwadhika-digital-technology-school/c7d441ba-62a9-4d9f-b166-4c69ebb001f6","Kapanewon Depok","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman/kapanewon-depok","Kab. Sleman","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman","DI Yogyakarta","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja","10 hari yang lalu"
