"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26","TagStyle__TagContent-sc-66xi2f-0","stylessc__ShieldBadge-sc-1cbkdr9-1 src"
"System Analyst (Middle)","https://glints.com/id/opportunities/jobs/system-analyst-middle/8fe7bacd-eec7-4c26-a387-8792509c290a?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed","Rp 9 jt-14 jt","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","GIT","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/60f959e88f4f6476baa8a147a2f1c675.png","Adins Center Of Excellence","https://glints.com/id/companies/adins-center-of-excellence/e7dd3947-b662-4c63-bccb-57c390df4759","Kebon Jeruk","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kebon-jeruk","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","3 hari yang lalu","",""
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/504c9b13-99a5-44a6-9511-6a36f706a9f2?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed","Rp 5 jt-7 jt","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","Software Development Life Cycle (Sdlc)","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/73d516b02706268578142188ed35c206.jpg","PT Imani Prima","https://glints.com/id/companies/pt-imani-prima/37ea08f1-5e9a-413b-8db0-f1222abf2f4b","Cilandak","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/cilandak","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","16 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/c5cba1ed-c08b-4fdd-aad5-a3470914fa55?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed","Rp 5 jt-7 jt","Kontrak","1 – 3 tahun","Minimal Diploma (D1 - D4)","Business Planning","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/1c3725518c204a6df29382eb736cab2e.png","Derutive Insights Consulting","https://glints.com/id/companies/derutive-insights-consulting/fc619c1c-1da4-4e3b-971c-407e47b3b38c","Kebon Jeruk","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kebon-jeruk","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","17 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Analyst","https://glints.com/id/opportunities/jobs/analyst/ac90f596-51fd-4a1d-bfb1-bbf7c442d274?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed","Rp 4,8 jt-7 jt","Penuh Waktu","Kurang dari setahun","Minimal Diploma (D1 - D4)","Microsoft Excel","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/1e36ca8ed99bdac6a348da986f1b696f.jpg","Linkage","https://glints.com/id/companies/linkage/bc3722ae-3182-46ee-afd6-a3ceb8e4e832","Gresik","https://glints.com/id/job-location/indonesia/jawa-timur/kab-gresik/gresik","Kab. Gresik","https://glints.com/id/job-location/indonesia/jawa-timur/kab-gresik","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","13 hari yang lalu","",""
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/f6f0c7bb-7c86-4471-b58e-714307a79784?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed","","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","Software Documentation","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0d123fafc5087eb3d92aede651bb41ed.jpg","Indonesia Global Solusindo","https://glints.com/id/companies/indonesia-global-solusindo/b93039b8-c530-414d-a162-8b5d943f08f1","Grogol Petamburan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/grogol-petamburan","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","28 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Data Engineer","https://glints.com/id/opportunities/jobs/data-engineer/c3d1e4fa-92e9-440a-aaaf-a07753b6f711?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed","Rp 7 jt-9 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Relational Databases","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/328d516fc77ac254795b110daa0ceb71.jpg","PT. Nusantara Duta Solusindo","https://glints.com/id/companies/pt-nusantara-duta-solusindo/ccfcf153-cac6-4e5c-bd54-b1b3eb90f569","Tebet","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/tebet","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","Kemarin","",""
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/dbfc7eef-d6bc-4305-a1c7-0155e50fec66?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed","Rp 5 jt-7,5 jt","Kontrak","3 – 5 tahun","Minimal Sarjana (S1)","Data Analytics","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/bb295abd4a0fb651a21bdc2781e29b5d.png","Star Karlo Indonesia","https://glints.com/id/companies/star-karlo-indonesia/ba097884-2dd3-46d6-911d-e3e90be8927b","Genuk","https://glints.com/id/job-location/indonesia/jawa-tengah/semarang/genuk","Semarang","https://glints.com/id/job-location/indonesia/jawa-tengah/semarang","Jawa Tengah","https://glints.com/id/job-location/indonesia/jawa-tengah","9 hari yang lalu","",""
"System Analyst Middle","https://glints.com/id/opportunities/jobs/system-analyst-middle/9e903260-d6ce-4cfa-a733-a534d8d7d22f?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed","Rp 10 jt-11 jt","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","System Analyst","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f60ff685c6ed2fe181a0d38b1a7cadf2.png","PT Aktualisasi Gratia Talenta Indonesia","https://glints.com/id/companies/pt-aktualisasi-gratia-talenta-indonesia/fee5a824-ca35-48ae-90b4-2580f7ad1f23","Kebon Jeruk","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kebon-jeruk","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","20 hari yang lalu","",""
"Dosen Sains Data Terapan","https://glints.com/id/opportunities/jobs/dosen-sains-data-terapan/d83c1d4a-dbb4-4e75-995b-adf3c46ba479?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed","Rp 1 jt","Hybrid","Penuh Waktu","Kurang dari setahun","Minimal Magister (S2)","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/61517acf67adc779e61ea2e6fae59861.jpg","Startup Campus","https://glints.com/id/companies/startup-campus/744366c0-078a-4545-a79e-b8eb435b553f","Serang","https://glints.com/id/job-location/indonesia/banten/serang/serang","Serang","https://glints.com/id/job-location/indonesia/banten/serang","Banten","https://glints.com/id/job-location/indonesia/banten","1 bulan yang lalu","",""
"Data Engineer","https://glints.com/id/opportunities/jobs/data-engineer/0e1f4bca-3724-44b1-8987-5bbf1423495c?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed","Rp 9 jt-10 jt","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","Microsoft SQL Server","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/71905dc7ffd9412d376b9f48004cff61.jpg","PT Hermes Solusi Integrasi","https://glints.com/id/companies/pt-hermes-solusi-integrasi/ef11e3bc-9ed1-49f6-8acc-148a9415bddc","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","8 hari yang lalu","",""
"Senior Data Engineer","https://glints.com/id/opportunities/jobs/senior-data-engineer/1a2fa432-a586-488e-aec8-643eb0d05ded?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed","Rp 8 jt-20 jt","Penuh Waktu","5 – 10 tahun","Minimal Sarjana (S1)","CI/CD","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ad250dd902b0c29b6c7df0725ccaf221.jpg","Kreasi Dua Konsep (2Konzept)","https://glints.com/id/companies/kreasi-dua-konsep-2konzept/84aa5588-dc89-413e-af4c-44f6c743b8cf","Kebayoran Lama","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-lama","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","7 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Quality Assurance (QA) Analyst","https://glints.com/id/opportunities/jobs/quality-assurance-qa-analyst/9fe4f083-d082-41eb-a953-385132bccfb2?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed","Rp 7 jt-10 jt","Kontrak","3 – 5 tahun","Minimal Sarjana (S1)","System Analysis","+9","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/263162040d64c3431077d2d80bd240f3.png","PT. Amalura Multi Dimensi","https://glints.com/id/companies/pt-amalura-multi-dimensi/c7e248c4-80c4-4ba9-b251-1a413a25a910","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","59 detik yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
