"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26","TagStyle__TagContent-sc-66xi2f-0","stylessc__ShieldBadge-sc-1cbkdr9-1 src"
"Magang Credit Analyst","https://glints.com/id/opportunities/jobs/magang-credit-analyst/afdae430-0b5f-4fd7-85fc-5f8122399c7c?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","Rp 2,2 jt-3 jt","Magang","1 – 3 tahun","Minimal Diploma (D1 - D4)","Teamwork","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/58f0c190d01f5b810cb6b798181297c7.jpg","PT Parinama Simfoni Indonesia","https://glints.com/id/companies/pt-parinama-simfoni-indonesia/3596adfa-c641-45fc-9967-c807da4beda6","Bandung Kidul","https://glints.com/id/job-location/indonesia/jawa-barat/bandung/bandung-kidul","Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","Kemarin","",""
"IT Business Analyst (for Insurance industry)","https://glints.com/id/opportunities/jobs/it-business-analyst-for-insurance-industry/1eeeaab8-9401-454e-822a-d5c7d1219afd?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","Rp 5 jt-7,5 jt","Kontrak","3 – 5 tahun","Minimal Sarjana (S1)","Csm","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Kebayoran Lama","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-lama","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","23 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Social Media Analyst","https://glints.com/id/opportunities/jobs/social-media-analyst/8ad1b3c9-6384-4d89-a095-fd2b04e46227?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","Rp 3,5 jt-4,5 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Analytical Skills","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/fb84a34cf1ec9cd7d4975777ac0b4768.png","CV Perajutan Sahabat","https://glints.com/id/companies/cv-perajutan-sahabat/337cd844-58b2-41fc-b7d1-90e78453e93c","Dayeuhkolot","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bandung/dayeuhkolot","Kab. Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","Kemarin","",""
"Analisis Data Operasional","https://glints.com/id/opportunities/jobs/analisis-data-operasional/b341b55f-bb4f-40ce-aab3-97a380b06b7f?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","Rp 2,1 jt-2,3 jt","Penuh Waktu","Kurang dari setahun","Minimal Sarjana (S1)","Teamwork","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/50375acd0d9b890dc1fc2d4339489ef4.jpeg","Oma Opa Cakery","https://glints.com/id/companies/oma-opa-cakery/3380bb06-1f5d-41e3-af64-3ba0273f8205","Kapanewon Depok","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman/kapanewon-depok","Kab. Sleman","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman","DI Yogyakarta","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja","7 hari yang lalu","",""
"Business Analyst Internship","https://glints.com/id/opportunities/jobs/business-analyst-internship/4d99e800-5235-47ad-b0b4-78fde348f5de?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","","Magang","Kurang dari setahun","Minimal Sarjana (S1)","Data Analytics","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/fbf113b9a491318cbba2053cc9aff9ec.png","PT Visionet Data Internasional","https://glints.com/id/companies/pt-visionet-data-internasional/685ebe79-7559-4050-9f0e-a88230859726","Karawaci","https://glints.com/id/job-location/indonesia/banten/tangerang/karawaci","Tangerang","https://glints.com/id/job-location/indonesia/banten/tangerang","Banten","https://glints.com/id/job-location/indonesia/banten","14 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Content Creator (Personal Assistant) Personal Colour Analyst","https://glints.com/id/opportunities/jobs/content-creator-personal-assistant-personal-colour-analyst/2324e245-16e4-4596-ae61-db8d287507c7?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","Rp 5,5 jt-7 jt","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","Positive Attitude","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/793c73bbb8fd3209f72e76d96185759a.jpeg","24Tokyo","https://glints.com/id/companies/24tokyo/f9b8a575-b0d2-4f29-a888-4be18875c488","Penjaringan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/penjaringan","Jakarta Utara","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","10 hari yang lalu","",""
"Ads Analyst (Meta & Marketplace)","https://glints.com/id/opportunities/jobs/ads-analyst-meta-and-marketplace/604cd85c-39bb-4be2-8d18-424ef75bdf32?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","Rp 3 jt-4,5 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Meta Ads","+8","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f33b7efdd3b54dd7ebd9991bf91901ad.png","PT. Raja Mitra Sehati","https://glints.com/id/companies/pt-raja-mitra-sehati/28aa61d6-ab2f-4aa8-a9a9-641bdb5c1ffd","Margahayu","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bandung/margahayu","Kab. Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","42 menit yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Finance Analyst","https://glints.com/id/opportunities/jobs/finance-analyst/a7e096d2-653a-4fee-939c-8b6d16e2bdc9?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","Rp 3 jt-6,5 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Microsoft Office","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/4fdc8d85323423321545bbfcaa232464.png","PT Pelayaran Surya Timur Line Group","https://glints.com/id/companies/pt-pelayaran-surya-timur-line-group/f6c69c94-3f5b-4079-9dc3-4fae1fcc4734","Krembangan","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya/krembangan","Surabaya","https://glints.com/id/job-location/indonesia/jawa-timur/surabaya","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","16 hari yang lalu","",""
"Senior IT Business Analyst","https://glints.com/id/opportunities/jobs/senior-it-business-analyst/b61205ad-b143-4803-bf47-22d0ce8f307e?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","Rp 13 jt-15 jt","Kontrak","5 – 10 tahun","Minimal Sarjana (S1)","Brd","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","Kemarin","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Business Analyst - Banking Industry","https://glints.com/id/opportunities/jobs/business-analyst-banking-industry/ed377889-d8fa-4d05-97d7-dd3112b535a7?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","Rp 10 jt-12 jt","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","SDLC","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Pancoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/pancoran","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","7 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Market Analyst Internship","https://glints.com/id/opportunities/jobs/market-analyst-internship/73e4162f-649b-4818-8ac5-376bc7c0cad8?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","Rp 2 jt-3 jt","Magang","Kurang dari setahun","Minimal Diploma (D1 - D4)","Data Monitoring","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/7ad859cc56c9e523d88e6dd0684d0515.png","Turnkey Group","https://glints.com/id/companies/turnkey-group/00bc8c01-306d-4b28-81eb-d2054376b54e","Batu","https://glints.com/id/job-location/indonesia/jawa-timur/batu/batu","Batu","https://glints.com/id/job-location/indonesia/jawa-timur/batu","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","16 hari yang lalu","Perusahaan Premium","https://glints.com/images/icons/vip-badge.svg"
"Marketing Analyst","https://glints.com/id/opportunities/jobs/marketing-analyst/2d68eba1-9243-41f2-a7b9-12a77375444a?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","Rp 3 jt-6 jt","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Marketing Management","+10","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5319ee15162b5f9a7eb724bf0b8cc123.png","Upscale Living","https://glints.com/id/companies/upscale-living/5e0bee50-8bc0-4afe-a653-817c580d1d35","Denpasar Timur","https://glints.com/id/job-location/indonesia/bali/denpasar/denpasar-timur","Denpasar","https://glints.com/id/job-location/indonesia/bali/denpasar","Bali","https://glints.com/id/job-location/indonesia/bali","7 hari yang lalu","",""
"Business Analyst Intern","https://glints.com/id/opportunities/jobs/business-analyst-intern/501be86b-94a6-47f6-aa4d-78c1e9ab8968?utm_referrer=explore&traceInfo=190c7f1c-deb0-4bae-9d61-278b4e3b994d","Rp 2 jt","Magang","Kurang dari setahun","Minimal Sarjana (S1)","Communication Skills","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/68ae00d5f83a8ff9315b2a3ece2b7dfa.jpg","Pt. Ivonesia Solusi Data (ivosights)","https://glints.com/id/companies/pt-ivonesia-solusi-data-ivosights/68880678-17cf-40d9-8b7e-aa6b53f28eea","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","1 bulan yang lalu","",""
