"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","TagStyle__TagContent-sc-66xi2f-0","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","stylessc__ShieldBadge-sc-1cbkdr9-1 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32"
"Research Analyst","https://glints.com/id/opportunities/jobs/research-analyst/5e68f724-67db-42d3-a2ae-37ab8cc0a757?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","","Hybrid","Magang","Kurang dari setahun","Minimal SMA/SMK","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a7098621b3e1b325996a9f4f629500bd.png","","PT. Dananjaya Design Nusantara","https://glints.com/id/companies/pt-dananjaya-design-nusantara/bb2b7bc8-b806-49ca-a395-ff5e24f8452d","Coblong","https://glints.com/id/job-location/indonesia/jawa-barat/bandung/coblong","Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","6 hari yang lalu","Rp 1 jt"
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/76d9203f-b549-4d81-93b0-e2f9a9f74476?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Willing To Achive More","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/7ad859cc56c9e523d88e6dd0684d0515.png","https://glints.com/images/icons/vip-badge.svg","Turnkey Group","https://glints.com/id/companies/turnkey-group/00bc8c01-306d-4b28-81eb-d2054376b54e","Batu","https://glints.com/id/job-location/indonesia/jawa-timur/batu/batu","Batu","https://glints.com/id/job-location/indonesia/jawa-timur/batu","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","6 hari yang lalu","Rp 5 jt-8 jt"
"Marketing Analyst","https://glints.com/id/opportunities/jobs/marketing-analyst/4b2a25e9-1a91-4ef3-a643-557e8b2554a5?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","","Kontrak","1 – 3 tahun","Minimal Diploma (D1 - D4)","Marketing Communications","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8b0135302987c7346eab5720db5fa189.png","","PT. Permata Azzuri Sehat","https://glints.com/id/companies/pt-permata-azzuri-sehat/16a4c53a-6a34-4274-b278-da954431b3eb","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","6 hari yang lalu","Rp 5,5 jt-6,5 jt"
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/9cb54f02-5ffe-42e0-bcca-f7b2eb222d2a?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Microsoft Excel","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0afa488d1d6bc0c943f30946a84fe6cf.png","","Oto.com","https://glints.com/id/companies/otocom/ed9591dd-5cb1-40a4-bd1f-f3d8a301be55","Palmerah","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/palmerah","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","6 hari yang lalu","Rp 6 jt-8 jt"
"Spesialis Data Entry","https://glints.com/id/opportunities/jobs/spesialis-data-entry/2fae4efe-4ca9-41c1-85cd-e598629e191f?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","","Remote/Dari rumah","Paruh Waktu","Minimal SMA/SMK","Microsoft Office","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/124e52427ee285009b42e302c7f7d2d8.jpg","","Citra Textile","https://glints.com/id/companies/citra-textile/26c55f98-c52e-4675-8c85-a6119bc5050b","Kuta","https://glints.com/id/job-location/indonesia/bali/kab-badung/kuta","Kab. Badung","https://glints.com/id/job-location/indonesia/bali/kab-badung","Bali","https://glints.com/id/job-location/indonesia/bali","Kemarin","Rp 5,5 jt-7,4 jt"
"Marketing Analyst","https://glints.com/id/opportunities/jobs/marketing-analyst/698b7444-e587-4c86-9433-70413c8efbfc?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","","Penuh Waktu","Kurang dari setahun","Minimal Diploma (D1 - D4)","Teamwork","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/37903028a461e0a00e04249b1871b0ab.jpg","","Bubur Ayam Pelana","https://glints.com/id/companies/bubur-ayam-pelana/639bae53-4d1d-4445-9d2e-910aa654de22","Lengkong","https://glints.com/id/job-location/indonesia/jawa-barat/bandung/lengkong","Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","7 hari yang lalu","Rp 1,5 jt-2,3 jt"
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/82ac923b-2873-447e-a33c-0715d47f1dd7?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","","Remote/Dari rumah","Magang","Kurang dari setahun","Minimal SMA/SMK","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f1a96eb0a9c7f7d827f4339157793af4.jpeg","","PT Flow Byte Digital","https://glints.com/id/companies/pt-flow-byte-digital/85a15a40-6207-4e91-92f2-9e9be050d967","Kembangan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kembangan","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","7 hari yang lalu","Rp 1 jt-1,1 jt"
"Credit Analyst","https://glints.com/id/opportunities/jobs/credit-analyst/8e8e4973-7e43-4206-9908-04ac1ff3672a?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Credit Analysis","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3b82e7e7bf36a8606a96a735e0857396.png","","PT.FRESH ON TIME SEAFOOD","https://glints.com/id/companies/ptfresh-on-time-seafood/014f41a2-2f07-4f97-ae12-81a88dc9a9ac","Klapanunggal","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bogor/klapanunggal","Kab. Bogor","https://glints.com/id/job-location/indonesia/jawa-barat/kab-bogor","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","8 hari yang lalu","Rp 4,5 jt-6 jt"
"Analyst Staff","https://glints.com/id/opportunities/jobs/analyst-staff/3e5018a1-1963-455b-a426-a4eb93891aa3?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","Attention to Detail","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/6052821daf211ce61c301b3ede79ed05.jpeg","https://glints.com/images/icons/vip-badge.svg","PT INTI SURYA LABORATORIUM","https://glints.com/id/companies/pt-inti-surya-laboratorium/57e5f48d-5902-43bb-a2e4-375a75e07630","Cisauk","https://glints.com/id/job-location/indonesia/banten/kab-tangerang/cisauk","Kab. Tangerang","https://glints.com/id/job-location/indonesia/banten/kab-tangerang","Banten","https://glints.com/id/job-location/indonesia/banten","9 hari yang lalu",""
"Analis Market Research","https://glints.com/id/opportunities/jobs/analis-market-research/4b397e3f-d6f9-43fe-809c-4b1df2fedacf?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Marketing Management","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/875739049043ed4c2cad1db27d243617.jpeg","https://glints.com/images/icons/vip-badge.svg","Noor Textile & Tailor","https://glints.com/id/companies/noor-textile-and-tailor/7820c914-75d5-4ecf-9cc2-fc5060050277","Tanjung Priok","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/tanjung-priok","Jakarta Utara","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","8 hari yang lalu","Rp 4 jt-5,6 jt"
