"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","TagStyle__TagContent-sc-66xi2f-0","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","stylessc__ShieldBadge-sc-1cbkdr9-1 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32"
"IT System Analyst","https://glints.com/id/opportunities/jobs/it-system-analyst/7e6cc32c-3ce6-415f-a1b4-501a854c26dc?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","SQL","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/eecafe2ce82ce6e39bae82fafe897c4c.png","https://glints.com/images/icons/vip-badge.svg","PT. Transcosmos Indonesia","https://glints.com/id/companies/pt-transcosmos-indonesia/bb80186e-bc5f-48d4-963c-71349fe08acf","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","Kemarin",""
"IT Business Analyst","https://glints.com/id/opportunities/jobs/it-business-analyst/dc059ddb-f0ee-440a-bd37-cdca7531bed6?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Kontrak","3 – 5 tahun","Minimal Diploma (D1 - D4)","Brd","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ab8b71c58f6883f650f549b3b9bb4eb6.jpg","","Pt. Tiga Daya Digital Indonesia","https://glints.com/id/companies/pt-tiga-daya-digital-indonesia/54dd0fb0-5873-4bf9-b5e9-b1939efef446","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","Kemarin","Rp 10 jt-18 jt"
"IT Business Analyst","https://glints.com/id/opportunities/jobs/it-business-analyst/372e7ddc-5a34-46ca-b1db-56cab8af0d6c?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","Teamwork","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ef674468446e36198da02a498fad33da.png","https://glints.com/images/icons/vip-badge.svg","PT. Mandiri International Technology","https://glints.com/id/companies/pt-mandiri-international-technology/4cc92fae-eb04-42eb-a2e0-be7770866e04","Pancoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/pancoran","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","2 hari yang lalu","Rp 5,5 jt-10 jt"
"Business Risk Analyst","https://glints.com/id/opportunities/jobs/business-risk-analyst/e08a2422-8813-4b50-b63a-3ce85fc791b2?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Remote/Dari rumah","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/6ef84d7cb62101c2d400cd8ec868dc4a.png","","Confirmis Holdings","https://glints.com/id/companies/confirmis-holdings/8c30898b-b7cd-406e-bd56-83f0b09e45f7","Gambir","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/gambir","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","3 hari yang lalu","Rp 6 jt-6,5 jt"
"IT Business Process Analyst","https://glints.com/id/opportunities/jobs/it-business-process-analyst/0a7998b4-fba7-4088-b6de-4f947f2934c9?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","Product Development","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","https://glints.com/images/icons/vip-badge.svg","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Cakung","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/cakung","Jakarta Timur","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","20 hari yang lalu","Rp 6,5 jt-7 jt"
"Product Marketing Analyst","https://glints.com/id/opportunities/jobs/product-marketing-analyst/bd86d05f-1cab-486d-8720-048c58d2bd15?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Communication Skills","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/93bbdaf15958d2c02f4506745494cae6.png","","PT AKARI Indonesia","https://glints.com/id/companies/pt-akari-indonesia/d94d75ba-3510-47ef-b96a-9f1bb5368ca5","Kemayoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/kemayoran","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","6 hari yang lalu","Rp 5 jt-6 jt"
"IT Business Analyst Supervisor","https://glints.com/id/opportunities/jobs/it-business-analyst-supervisor/fbdd03f9-c807-4136-a0af-ba9d0f38ade9?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Business Analyst","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d39327a049eb1bbdc5c1b5cabb723623.png","https://glints.com/images/icons/vip-badge.svg","PT Tunas Ridean, Tbk","https://glints.com/id/companies/pt-tunas-ridean-tbk/281f9952-3b0f-4336-897b-be0a15d2e215","Pancoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/pancoran","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","22 hari yang lalu","Rp 5 jt-10 jt"
"System Analyst","https://glints.com/id/opportunities/jobs/system-analyst/06f3d507-7c16-4682-ac79-a721b353df08?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","UML","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5579b6a466f477d7e787e054ac604d79.jpg","https://glints.com/images/icons/vip-badge.svg","PT Inova Medika Solusindo","https://glints.com/id/companies/pt-inova-medika-solusindo/d3f5ff95-95c2-47de-9e23-dd2a5f71ecd6","Samarinda Ulu","https://glints.com/id/job-location/indonesia/kalimantan-timur/samarinda/samarinda-ulu","Samarinda","https://glints.com/id/job-location/indonesia/kalimantan-timur/samarinda","Kalimantan Timur","https://glints.com/id/job-location/indonesia/kalimantan-timur","19 hari yang lalu","Rp 3,5 jt-4,5 jt"
"Financial Planning Analyst","https://glints.com/id/opportunities/jobs/financial-planning-analyst/079d2c14-7b1d-47b0-b2d6-01fb4b5a88ab?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Penuh Waktu","5 – 10 tahun","Minimal Sarjana (S1)","Microsoft Excel","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8294706e239f673e63b46b25e07f1404.jpg","","PT Jola Mitra Utama (Yogyakarta)","https://glints.com/id/companies/pt-jola-mitra-utama-yogyakarta/be862141-af2a-4d25-8682-ed0fc0b2dd81","Kemayoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/kemayoran","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","14 hari yang lalu","Rp 20 jt-25 jt"
"Data Engineer (Remote)","https://glints.com/id/opportunities/jobs/data-engineer-remote/2b3e6e47-2c40-44f5-9c53-c4723f8f9086?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Remote/Dari rumah","Kontrak","3 – 5 tahun","Minimal Sarjana (S1)","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3c4a679eba5753220b5ccf0e6aa703d5.jpg","","Pt Medika Digital Nusantara","https://glints.com/id/companies/pt-medika-digital-nusantara/2f48b33c-d784-4501-b88b-e48e4a291f8e","Kapanewon Depok","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman/kapanewon-depok","Kab. Sleman","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman","DI Yogyakarta","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja","20 hari yang lalu","Rp 5 jt-8 jt"
"IT Business Analyst","https://glints.com/id/opportunities/jobs/it-business-analyst/b0e2c56b-37cb-43f2-8d40-c5431f360e5d?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","System Integration","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8dd5fc2a4f41a241e97fd2abc1e8ea08.png","","PT Nusapala Group","https://glints.com/id/companies/pt-nusapala-group/b61d0d94-db46-441e-bba2-968ebd6ee5ed","Ciracas","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/ciracas","Jakarta Timur","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","17 hari yang lalu","Rp 4,9 jt-5,1 jt"
"Spesialis Data Entry","https://glints.com/id/opportunities/jobs/spesialis-data-entry/2fae4efe-4ca9-41c1-85cd-e598629e191f?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Remote/Dari rumah","Paruh Waktu","Minimal SMA/SMK","Microsoft Office","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/124e52427ee285009b42e302c7f7d2d8.jpg","","Citra Textile","https://glints.com/id/companies/citra-textile/26c55f98-c52e-4675-8c85-a6119bc5050b","Kuta","https://glints.com/id/job-location/indonesia/bali/kab-badung/kuta","Kab. Badung","https://glints.com/id/job-location/indonesia/bali/kab-badung","Bali","https://glints.com/id/job-location/indonesia/bali","Kemarin","Rp 5,5 jt-7,4 jt"
"Business Analyst (Insurance)","https://glints.com/id/opportunities/jobs/business-analyst-insurance/547a4fe0-9136-4433-9a60-91a29af0598d?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Hybrid","Kontrak","3 – 5 tahun","Minimal Diploma (D1 - D4)","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3ad95027979abea42c1674d06974a492.jfif","","PT Karisma Zona Kreatifku (KAZOKKU)","https://glints.com/id/companies/pt-karisma-zona-kreatifku-kazokku/5c1cd2d8-ad05-405d-8ba3-20c56ffac8d8","Mampang Prapatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/mampang-prapatan","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","20 hari yang lalu","Rp 7 jt-14 jt"
"IT Business Analyst","https://glints.com/id/opportunities/jobs/it-business-analyst/fe9a6f88-285c-4b64-8e67-24cf1475e932?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Penuh Waktu","3 – 5 tahun","Minimal Diploma (D1 - D4)","Agile Methodologies","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d25bd65e765e7977cbf4a1e2d9dcecb1.jpeg","","BIT - Barito Technologies Group","https://glints.com/id/companies/bit-barito-technologies-group/7017a7ac-4ab2-42b2-bc5a-f01b66c6e3ec","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","21 hari yang lalu","Rp 8 jt-12 jt"
"Social Media Analyst","https://glints.com/id/opportunities/jobs/social-media-analyst/412eb27a-57eb-4dbd-b7f3-19168425c731?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Report Writing","+12","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/086f4f1c200339183898e4c03b6ae55b.jpeg","https://glints.com/images/icons/vip-badge.svg","PT CAB Tekno Kreasi","https://glints.com/id/companies/pt-cab-tekno-kreasi/9758ff02-09ec-46b6-af7c-a8f0eb6cfd91","Cilandak","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/cilandak","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","2 hari yang lalu",""
"System Analyst Supervisor","https://glints.com/id/opportunities/jobs/system-analyst-supervisor/76ed85a1-a746-41d6-bf34-1cd944df3e2f?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Leadership Development","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d39327a049eb1bbdc5c1b5cabb723623.png","https://glints.com/images/icons/vip-badge.svg","PT Tunas Ridean, Tbk","https://glints.com/id/companies/pt-tunas-ridean-tbk/281f9952-3b0f-4336-897b-be0a15d2e215","Pancoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/pancoran","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","1 bulan yang lalu","Rp 5 jt-10 jt"
"Claim Analyst Non MV (Teknik)","https://glints.com/id/opportunities/jobs/claim-analyst-non-mv-teknik/10a465b7-ae0f-4afd-b709-fdd674838964?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Penuh Waktu","Kurang dari setahun","Minimal Sarjana (S1)","Microsoft Office","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/63c70e61c34ca7f641606a4419992b07.jpg","https://glints.com/images/icons/vip-badge.svg","PT Lippo General Insurance Tbk","https://glints.com/id/companies/pt-lippo-general-insurance-tbk/4d778714-33b7-41d4-8b24-595e4d557030","Karawaci","https://glints.com/id/job-location/indonesia/banten/tangerang/karawaci","Tangerang","https://glints.com/id/job-location/indonesia/banten/tangerang","Banten","https://glints.com/id/job-location/indonesia/banten","3 hari yang lalu",""
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/d5e27618-c347-4662-9f0a-cd62f1b2f3e0?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Critical Thinking","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/4fda64f89a3150dbdf4655e5ad90ffd6.png","https://glints.com/images/icons/vip-badge.svg","Pt Werkudara Nirwana Sakti","https://glints.com/id/companies/pt-werkudara-nirwana-sakti/266ec8a1-ebe7-49af-8756-31e3474f12a9","Kapanewon Depok","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman/kapanewon-depok","Kab. Sleman","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja/kab-sleman","DI Yogyakarta","https://glints.com/id/job-location/indonesia/di-yogyakarta-jogja","16 hari yang lalu",""
"Procurement Analyst","https://glints.com/id/opportunities/jobs/procurement-analyst/e9b8ab1a-b052-4471-9c6c-6fef93e27200?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Civil Engineering","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/e16aed030c1df060dcaf7bdaa616c6c7.jpeg","","PT. JBA INDONESIA","https://glints.com/id/companies/pt-jba-indonesia/5c72acd0-2c18-47a7-81fd-801ebb1242b1","Grogol Petamburan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/grogol-petamburan","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","24 hari yang lalu","Rp 6 jt-8 jt"
"Mechanical & Electrical Technician Data Center","https://glints.com/id/opportunities/jobs/mechanical-and-electrical-technician-data-center/16acbd0e-42fb-4c9d-92e4-c431531f7060?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Attention to Detail","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/9df947d10dbfd6ea6fdc7f72be5e8a0b.jpg","","PT Adastra Visi Teknologi","https://glints.com/id/companies/pt-adastra-visi-teknologi/e8362290-dbb2-4c2c-82aa-a18227fa4c85","Kramatjati","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/kramatjati","Jakarta Timur","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","3 hari yang lalu","Rp 7 jt"
"Sop Analyst & Trainer","https://glints.com/id/opportunities/jobs/sop-analyst-and-trainer/e7a7b199-8493-4a53-9924-5ac165451e95?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","Communication Skills","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/37b0b94f925f35859e0ba04035443619.jpg","https://glints.com/images/icons/vip-badge.svg","CV. Kukche Mitra Sukses","https://glints.com/id/companies/cv-kukche-mitra-sukses/7cf090eb-8b4b-4b4e-9f46-7e58c86dadf3","Bogor Timur","https://glints.com/id/job-location/indonesia/jawa-barat/bogor/bogor-timur","Bogor","https://glints.com/id/job-location/indonesia/jawa-barat/bogor","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","12 hari yang lalu","Rp 3,5 jt-3,8 jt"
"Marketing Analyst","https://glints.com/id/opportunities/jobs/marketing-analyst/32e5a0bf-10b1-43c1-94ac-1bfaf9aa8a99?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Digital Marketing","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/fa3974aa12cb81904e1ce94f199ae83b.jpeg","","Shabiyan","https://glints.com/id/companies/shabiyan/224ebed4-686c-4bcd-a05d-b0189c4d0306","Kebayoran Lama","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-lama","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","2 hari yang lalu","Rp 3 jt-4,5 jt"
"Research Analyst","https://glints.com/id/opportunities/jobs/research-analyst/5e68f724-67db-42d3-a2ae-37ab8cc0a757?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Hybrid","Magang","Kurang dari setahun","Minimal SMA/SMK","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a7098621b3e1b325996a9f4f629500bd.png","","PT. Dananjaya Design Nusantara","https://glints.com/id/companies/pt-dananjaya-design-nusantara/bb2b7bc8-b806-49ca-a395-ff5e24f8452d","Coblong","https://glints.com/id/job-location/indonesia/jawa-barat/bandung/coblong","Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","6 hari yang lalu","Rp 1 jt"
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/76d9203f-b549-4d81-93b0-e2f9a9f74476?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Willing To Achive More","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/7ad859cc56c9e523d88e6dd0684d0515.png","https://glints.com/images/icons/vip-badge.svg","Turnkey Group","https://glints.com/id/companies/turnkey-group/00bc8c01-306d-4b28-81eb-d2054376b54e","Batu","https://glints.com/id/job-location/indonesia/jawa-timur/batu/batu","Batu","https://glints.com/id/job-location/indonesia/jawa-timur/batu","Jawa Timur","https://glints.com/id/job-location/indonesia/jawa-timur","6 hari yang lalu","Rp 5 jt-8 jt"
"Admin Data Entry","https://glints.com/id/opportunities/jobs/admin-data-entry/71a28859-0027-4159-8968-eb2772e3b7e6?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Accounting","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/6565f2043f061a07b8cffdde4d797eb8.jpeg","","Tango Group (PT Tango Musik Sentosa)","https://glints.com/id/companies/tango-group-pt-tango-musik-sentosa/901eb6d1-f9f2-4712-b01d-063f6dce84ba","Taman Sari","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/taman-sari","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","4 jam yang lalu","Rp 4 jt-5 jt"
"Marketing Analyst","https://glints.com/id/opportunities/jobs/marketing-analyst/4b2a25e9-1a91-4ef3-a643-557e8b2554a5?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Kontrak","1 – 3 tahun","Minimal Diploma (D1 - D4)","Marketing Communications","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8b0135302987c7346eab5720db5fa189.png","","PT. Permata Azzuri Sehat","https://glints.com/id/companies/pt-permata-azzuri-sehat/16a4c53a-6a34-4274-b278-da954431b3eb","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","6 hari yang lalu","Rp 5,5 jt-6,5 jt"
"Business Analyst","https://glints.com/id/opportunities/jobs/business-analyst/9cb54f02-5ffe-42e0-bcca-f7b2eb222d2a?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Microsoft Excel","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0afa488d1d6bc0c943f30946a84fe6cf.png","","Oto.com","https://glints.com/id/companies/otocom/ed9591dd-5cb1-40a4-bd1f-f3d8a301be55","Palmerah","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/palmerah","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","6 hari yang lalu","Rp 6 jt-8 jt"
"Analis Market Research","https://glints.com/id/opportunities/jobs/analis-market-research/4b397e3f-d6f9-43fe-809c-4b1df2fedacf?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Marketing Management","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/875739049043ed4c2cad1db27d243617.jpeg","https://glints.com/images/icons/vip-badge.svg","Noor Textile & Tailor","https://glints.com/id/companies/noor-textile-and-tailor/7820c914-75d5-4ecf-9cc2-fc5060050277","Tanjung Priok","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/tanjung-priok","Jakarta Utara","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","8 hari yang lalu","Rp 4 jt-5,6 jt"
"Marketing Analyst","https://glints.com/id/opportunities/jobs/marketing-analyst/698b7444-e587-4c86-9433-70413c8efbfc?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","","Penuh Waktu","Kurang dari setahun","Minimal Diploma (D1 - D4)","Teamwork","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/37903028a461e0a00e04249b1871b0ab.jpg","","Bubur Ayam Pelana","https://glints.com/id/companies/bubur-ayam-pelana/639bae53-4d1d-4445-9d2e-910aa654de22","Lengkong","https://glints.com/id/job-location/indonesia/jawa-barat/bandung/lengkong","Bandung","https://glints.com/id/job-location/indonesia/jawa-barat/bandung","Jawa Barat","https://glints.com/id/job-location/indonesia/jawa-barat","7 hari yang lalu","Rp 1,5 jt-2,3 jt"
