,Job_Title,Information,Company_Type,Job_Contract,Experience,Education,Required_Skills,Skills,Company,Location,City,Province,Job_Posting,Salary
112,Sales and Marketing Analyst,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Marketing Communications,7,PT Karunia Agung Cemerlang,Benowo,Surabaya,Jawa Timur,9 hari yang lalu,Rp 5 jt-6 jt
113,Sales and Marketing Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Sales Strategy,5,Dapur Coet,Mampang Prapatan,Jakarta Selatan,DKI Jakarta,10 hari yang lalu,"Rp 3 jt-4,4 jt"
114,Consultant,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Presentation Skills,12,YAMADA Consulting & Spire Indonesia,Tanah Abang,Jakarta Pusat,DKI Jakarta,23 hari yang lalu,Rp 7 jt
115,DW Admin Odoo/Data,,,Harian,1 – 3 tahun,Minimal SMA/SMK,Information Systems,3,Ann's Bakehouse & Creamery,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,3 hari yang lalu,Rp 1 jt-4 jt
116,IT Sales,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal SMA/SMK,Client Relations,3,PT. MILLION DATA SOLUTION,Kemayoran,Jakarta Pusat,DKI Jakarta,12 hari yang lalu,Rp 3 jt-5 jt
117,IT Business Analyst,,,Kontrak,1 – 3 tahun,Minimal Diploma (D1 - D4),Jira,4,PT Entrepreneur Trust Digital,Tangerang,Tangerang,Banten,Kemarin,Rp 7 jt-9 jt
118,Analyst R&D,,,Penuh Waktu,Kurang dari setahun,Minimal Diploma (D1 - D4),Chemical analysis,3,PT Bernofarm Pharmaceutical,Buduran,Kab. Sidoarjo,Jawa Timur,Kemarin,"Rp 4,8 jt-5,3 jt"
119,Analis Data HRIS (Human Resources Information System),,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Driving,3,PT. Wonokoyo Jaya Corporindo (Wonokoyo Group),Wonokromo,Surabaya,Jawa Timur,23 hari yang lalu,"Rp 4,5 jt-6 jt"
120,Data Compliance Support,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Diploma (D1 - D4),Legal Compliance,6,PT. Cura Indonesia,Medan Kota,Medan,Sumatera Utara,2 hari yang lalu,Rp 3 jt-5 jt
121,Analis Kredit,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Analisa Kredit,3,PT. BPR FIANKA REZALINA FATMA,Binawidya,Pekanbaru,Riau,2 hari yang lalu,"Rp 4,5 jt-8 jt"
122,Solution Analyst Trainee,,,Kontrak,Kurang dari setahun,Minimal Sarjana (S1),Jira,3,PT. Aero Systems Indonesia (Garuda Indonesia Group),Benda,Tangerang,Banten,Kemarin,"Rp 5,4 jt-6 jt"
123,Analis Business Intelligence,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Power BI,5,PT TOKO SEPATU ISTIMEWA,Kemantren Tegalrejo,Yogyakarta,DI Yogyakarta,17 hari yang lalu,"Rp 4 jt-4,9 jt"
124,IT System Analyst,,,Hybrid,Penuh Waktu,5 – 10 tahun,Minimal Sarjana (S1),5,PT Nusantara Cita Bersama,Serpong,Tangerang Selatan,Banten,9 hari yang lalu,Rp 9 jt-15 jt
125,Analis Laboratorium,,,Penuh Waktu,1 – 3 tahun,Minimal SMA/SMK,Discipline,4,Klinik JB Medical Center,Cikarang Utara,Kab. Bekasi,Jawa Barat,13 hari yang lalu,"Rp 2 jt-3,5 jt"
126,IT Business Analyst (For Banking Industry),,Perusahaan Premium,Freelance,3 – 5 tahun,Minimal Sarjana (S1),Scrum,3,PT Sigma Global Teknologi,Tangerang,Tangerang,Banten,7 hari yang lalu,Rp 10 jt-12 jt
127,Data & Analytics Lead,,,Hybrid,Penuh Waktu,5 – 10 tahun,Minimal Sarjana (S1),7,Proxima Konsultan Indonesia,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,17 hari yang lalu,Rp 35 jt-45 jt
128,ADMIN DATA,,,Penuh Waktu,1 – 3 tahun,Minimal SMA/SMK,Communicative,5,Dewata Group,Buleleng,Kab. Buleleng,Bali,23 hari yang lalu,"Rp 2 jt-2,6 jt"
129,System Analys,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),SQL,4,Machine Vision Indonesia,Lowokwaru,Malang,Jawa Timur,8 hari yang lalu,Rp 5 jt-6 jt
130,Admin Data Entry,,Perusahaan Premium,Penuh Waktu,Minimal SMA/SMK,Microsoft Excel,Teamwork,3,Kool Prima,Medan Johor,Medan,Sumatera Utara,23 hari yang lalu,Rp 1 jt-2 jt
131,Analis Kimia,,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Laboratory Skills,5,PT Graha Farma,Kebakkramat,Kab. Karanganyar,Jawa Tengah,22 hari yang lalu,
132,Associate Consultant,,,Hybrid,Magang,Kurang dari setahun,Minimal Sarjana (S1),10,Atama,Menteng,Jakarta Pusat,DKI Jakarta,10 hari yang lalu,Rp 1 jt-6 jt
133,DW Admin Odoo/Data,,,Harian,1 – 3 tahun,Minimal SMA/SMK,Information Systems,3,Ann's Bakehouse & Creamery,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,3 hari yang lalu,Rp 1 jt-4 jt
134,Junior System Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),ERD,3,PT Lumut Karya Sejahtera,Kapanewon Sewon,Kab. Bantul,DI Yogyakarta,1 bulan yang lalu,Rp 3 jt-5 jt
135,IT Business Analyst (Insurance Industry),,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Business Analysis,3,PT Sigma Global Teknologi,Setiabudi,Jakarta Selatan,DKI Jakarta,1 bulan yang lalu,Rp 8 jt-10 jt
136,Analis Pusat Operasi Keamanan (SOC),,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),monitoring,3,Noosc,Menteng,Jakarta Pusat,DKI Jakarta,23 hari yang lalu,Rp 5 jt-6 jt
137,Functional Business Analyst (for Retail Company),,,Hybrid,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),3,Pt Total Cloud Solutions,Grogol Petamburan,Jakarta Barat,DKI Jakarta,1 bulan yang lalu,Rp 10 jt-20 jt
138,Analis Kredit Lapangan - Cab,,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Negotiation Skills,3,Nusantara Sakti Group,Grogol Petamburan,Jakarta Barat,DKI Jakarta,2 hari yang lalu,"Rp 2,3 jt-5,7 jt"
139,IoT & Data Engineer Staff,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),SQL,4,PT Kosmetika Global Indonesia (Kosme Group),Tenggilis Mejoyo,Surabaya,Jawa Timur,8 hari yang lalu,Rp 5 jt-8 jt
140,Credit Analyst Corporate Specialist,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Microsoft Office,3,PT BPR Kredit Mandiri Indonesia,Serpong,Tangerang Selatan,Banten,Kemarin,
141,Sales and Marketing Analyst,,,Hybrid,Freelance,1 – 3 tahun,Minimal Sarjana (S1),3,PT. Taso Indonesia Raya,Kembangan,Jakarta Barat,DKI Jakarta,2 hari yang lalu,"Rp 2 jt-2,5 jt"
142,Admin Reporting Analyst ( Yogyakarta ),,Perusahaan Premium,Remote/Dari rumah,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),4,Ultimo Solution,Kemantren Gondokusuman,Yogyakarta,DI Yogyakarta,2 hari yang lalu,"Rp 2,5 jt-3,4 jt"
143,Consultant,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Presentation Skills,12,YAMADA Consulting & Spire Indonesia,Tanah Abang,Jakarta Pusat,DKI Jakarta,23 hari yang lalu,Rp 7 jt
144,IT Sales,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal SMA/SMK,Client Relations,3,PT. MILLION DATA SOLUTION,Kemayoran,Jakarta Pusat,DKI Jakarta,12 hari yang lalu,Rp 3 jt-5 jt
145,Sales and Marketing Analyst,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Marketing Communications,7,PT Karunia Agung Cemerlang,Benowo,Surabaya,Jawa Timur,9 hari yang lalu,Rp 5 jt-6 jt
146,Bussiness Analyst (CargoWise),,,Hybrid,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),7,OneByOne Logistical,Kuta,Kab. Badung,Bali,16 hari yang lalu,"Rp 5 jt-7,5 jt"
147,Data Center (Server) Operation,,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Network Security,4,PT. Ebdesk Teknologi,Pondok Aren,Tangerang Selatan,Banten,20 hari yang lalu,Rp 5 jt-6 jt
148,Sales and Marketing Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Sales Strategy,5,Dapur Coet,Mampang Prapatan,Jakarta Selatan,DKI Jakarta,10 hari yang lalu,"Rp 3 jt-4,4 jt"
149,System Analyst - Banking Industry,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),System Analysis,7,PT Sigma Global Teknologi,Tanah Abang,Jakarta Pusat,DKI Jakarta,1 bulan yang lalu,Rp 10 jt-13 jt
150,Business Analyst (Pricing Analyst),,,Remote/Dari rumah,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),8,Y Ventures Group Ltd.,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,16 hari yang lalu,Rp 7 jt-13 jt
151,Data Engineer,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Java,5,PT Data Labs Analytics,Tanah Abang,Jakarta Pusat,DKI Jakarta,1 jam yang lalu,"Rp 5,5 jt-7,5 jt"
152,Data Engineer,,,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),SQL,3,PT. Dynamics Management Solution,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,2 hari yang lalu,Rp 10 jt-20 jt
153,Data Engineer,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Microsoft SQL Server,7,Indivara Teknologi Quantum,Taman Sari,Jakarta Barat,DKI Jakarta,5 hari yang lalu,Rp 12 jt-14 jt
154,Data Governance,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),IT Security,7,Indivara Teknologi Quantum,Taman Sari,Jakarta Barat,DKI Jakarta,5 hari yang lalu,Rp 10 jt-13 jt
155,Data Engineer - Banking,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Visual Studio .net,3,PT Sigma Global Teknologi,Setiabudi,Jakarta Selatan,DKI Jakarta,20 hari yang lalu,Rp 8 jt-9 jt
156,Data Engineer,,,Remote/Dari rumah,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),7,XCIDIC,Kembangan,Jakarta Barat,DKI Jakarta,23 hari yang lalu,"Rp 6,5 jt-10 jt"
157,System Analyst,,,Hybrid,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),7,PT Digitalinstincts Technology,Kelapa Gading,Jakarta Utara,DKI Jakarta,7 hari yang lalu,Rp 8 jt-12 jt
158,DATA ENGINEER,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Loading (etl),3,PT. Kulego Tiga Kreasi,Grogol Petamburan,Jakarta Barat,DKI Jakarta,1 bulan yang lalu,Rp 7 jt-15 jt
159,Fraud Analyst,,,Kontrak,1 – 3 tahun,Minimal Diploma (D1 - D4),Risk Management,3,PT. Nawa Data Solutions,Menteng,Jakarta Pusat,DKI Jakarta,Kemarin,Rp 7 jt-10 jt
160,Logistics Analyst,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Warehouse Management,4,Pt. Sinotrans Csc Indonesia,Setiabudi,Jakarta Selatan,DKI Jakarta,19 hari yang lalu,Rp 5 jt-7 jt
161,Social Media Analyst,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Affiliate Marketing,6,PT. Harfia Construction Machinery,Balaraja,Kab. Tangerang,Banten,5 hari yang lalu,"Rp 1,5 jt-3 jt"
162,Support Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Communication Skills,6,PT. Pinteraktif Media Cabang Bandung,Cibeunying Kaler,Bandung,Jawa Barat,Kemarin,"Rp 4 jt-4,5 jt"
163,IT System Analyst,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Diploma (D1 - D4),.NET,9,PT ARKAMAYA.,Bandung Kidul,Bandung,Jawa Barat,27 hari yang lalu,
164,IT System Analyst,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Diploma (D1 - D4),Go / Golang,4,PT Sigma Global Teknologi,Setiabudi,Jakarta Selatan,DKI Jakarta,27 hari yang lalu,
165,Data Engineer,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Kanban,10,PT Avows Technologies,Setiabudi,Jakarta Selatan,DKI Jakarta,6 hari yang lalu,"Rp 6 jt-7,5 jt"
166,General Data Analyst for Marketing Assistant,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Communication Skills,7,Xprojects Studio,Rungkut,Surabaya,Jawa Timur,8 hari yang lalu,"Rp 2 jt-3,5 jt"
167,System Analyst,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),SQL,4,PT Sigma Global Teknologi,Tanjung Priok,Jakarta Utara,DKI Jakarta,10 hari yang lalu,"Rp 8,5 jt-9 jt"
168,Data Science Lecturer,,,Paruh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Data Analytics,4,Purwadhika Digital Technology School,Kapanewon Depok,Kab. Sleman,DI Yogyakarta,10 hari yang lalu,Rp 10 jt-10 jt
169,System Analyst,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Accounting,4,ScaleOcean,Grogol Petamburan,Jakarta Barat,DKI Jakarta,Kemarin,
170,IT Business Analyst,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),FSD,4,PT Esha Parama Teknologi,Setiabudi,Jakarta Selatan,DKI Jakarta,14 hari yang lalu,
171,Project Analyst,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),ERP Software,5,PT Shan Informasi Sistem,Cengkareng,Jakarta Barat,DKI Jakarta,3 hari yang lalu,Rp 6 jt-8 jt
172,Marketing Analyst,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Digital Marketing,3,Skinex,Pondok Aren,Tangerang Selatan,Banten,6 hari yang lalu,"Rp 4,5 jt-6,5 jt"
173,Financial Analyst,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Analytical Skills,4,PT Sinergi Medika Utama,Cengkareng,Jakarta Barat,DKI Jakarta,6 hari yang lalu,Rp 7 jt-13 jt
174,Business Analyst,,,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Business Development,3,IDE Asia,Mampang Prapatan,Jakarta Selatan,DKI Jakarta,6 hari yang lalu,Rp 5 jt-17 jt
175,Data Lead,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Data Management,4,Bali Children Foundation,Kuta Utara,Kab. Badung,Bali,Kemarin,Rp 5 jt-8 jt
176,Investment Analyst,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Attention to Detail,4,PT Qverse Teknologi Indonesia,Pasar Minggu,Jakarta Selatan,DKI Jakarta,9 hari yang lalu,Rp 7 jt
177,UNPAID Data Scientist,,,Hybrid,Magang,Kurang dari setahun,Minimal Diploma (D1 - D4),3,Social Economy Accelerator Lab Malang,Gayungan,Surabaya,Jawa Timur,1 bulan yang lalu,Rp 1 jt-2 jt
178,Security Analyst,,Perusahaan Premium,Penuh Waktu,Kurang dari setahun,Minimal Diploma (D1 - D4),Cybersecurity,5,PT Computrade Technology International,Setiabudi,Jakarta Selatan,DKI Jakarta,13 hari yang lalu,
179,Data Engineer,,,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),SQL,3,PT. Dynamics Management Solution,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,2 hari yang lalu,Rp 10 jt-20 jt
180,Data Engineer,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Microsoft SQL Server,7,Indivara Teknologi Quantum,Taman Sari,Jakarta Barat,DKI Jakarta,5 hari yang lalu,Rp 12 jt-14 jt
181,Data Governance,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),IT Security,7,Indivara Teknologi Quantum,Taman Sari,Jakarta Barat,DKI Jakarta,5 hari yang lalu,Rp 10 jt-13 jt
182,Business Analyst,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Requirements Gathering,3,I CAN READ Indonesia,Penjaringan,Jakarta Utara,DKI Jakarta,13 hari yang lalu,
183,System Analyst - Banking Industry,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),System Analysis,7,PT Sigma Global Teknologi,Tanah Abang,Jakarta Pusat,DKI Jakarta,1 bulan yang lalu,Rp 10 jt-13 jt
184,Data Engineer,,,Remote/Dari rumah,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),7,XCIDIC,Kembangan,Jakarta Barat,DKI Jakarta,23 hari yang lalu,"Rp 6,5 jt-10 jt"
185,Business Analyst (Pricing Analyst),,,Remote/Dari rumah,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),8,Y Ventures Group Ltd.,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,16 hari yang lalu,Rp 7 jt-13 jt
186,Data Engineer - Banking,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Visual Studio .net,3,PT Sigma Global Teknologi,Setiabudi,Jakarta Selatan,DKI Jakarta,20 hari yang lalu,Rp 8 jt-9 jt
187,DATA ENGINEER,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Loading (etl),3,PT. Kulego Tiga Kreasi,Grogol Petamburan,Jakarta Barat,DKI Jakarta,1 bulan yang lalu,Rp 7 jt-15 jt
188,System Analyst,,,Hybrid,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),7,PT Digitalinstincts Technology,Kelapa Gading,Jakarta Utara,DKI Jakarta,7 hari yang lalu,Rp 8 jt-12 jt
189,Data Engineer,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Kanban,10,PT Avows Technologies,Setiabudi,Jakarta Selatan,DKI Jakarta,6 hari yang lalu,"Rp 6 jt-7,5 jt"
190,Fraud Analyst,,,Kontrak,1 – 3 tahun,Minimal Diploma (D1 - D4),Risk Management,3,PT. Nawa Data Solutions,Menteng,Jakarta Pusat,DKI Jakarta,Kemarin,Rp 7 jt-10 jt
191,Logistics Analyst,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Warehouse Management,4,Pt. Sinotrans Csc Indonesia,Setiabudi,Jakarta Selatan,DKI Jakarta,19 hari yang lalu,Rp 5 jt-7 jt
192,Social Media Analyst,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Affiliate Marketing,6,PT. Harfia Construction Machinery,Balaraja,Kab. Tangerang,Banten,5 hari yang lalu,"Rp 1,5 jt-3 jt"
193,Data Science Lecturer,,,Paruh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Data Analytics,4,Purwadhika Digital Technology School,Kapanewon Depok,Kab. Sleman,DI Yogyakarta,10 hari yang lalu,Rp 10 jt-10 jt
194,General Data Analyst for Marketing Assistant,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Communication Skills,7,Xprojects Studio,Rungkut,Surabaya,Jawa Timur,8 hari yang lalu,"Rp 2 jt-3,5 jt"
195,Support Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Communication Skills,6,PT. Pinteraktif Media Cabang Bandung,Cibeunying Kaler,Bandung,Jawa Barat,Kemarin,"Rp 4 jt-4,5 jt"
196,Data Lead,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Data Management,4,Bali Children Foundation,Kuta Utara,Kab. Badung,Bali,Kemarin,Rp 5 jt-8 jt
197,UNPAID Data Scientist,,,Hybrid,Magang,Kurang dari setahun,Minimal Diploma (D1 - D4),3,Social Economy Accelerator Lab Malang,Gayungan,Surabaya,Jawa Timur,1 bulan yang lalu,Rp 1 jt-2 jt
198,IT System Analyst,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Diploma (D1 - D4),.NET,9,PT ARKAMAYA.,Bandung Kidul,Bandung,Jawa Barat,27 hari yang lalu,
199,IT System Analyst,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Diploma (D1 - D4),Go / Golang,4,PT Sigma Global Teknologi,Setiabudi,Jakarta Selatan,DKI Jakarta,27 hari yang lalu,
200,System Analyst,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),SQL,4,PT Sigma Global Teknologi,Tanjung Priok,Jakarta Utara,DKI Jakarta,10 hari yang lalu,"Rp 8,5 jt-9 jt"
201,IT Business Analyst,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),FSD,4,PT Esha Parama Teknologi,Setiabudi,Jakarta Selatan,DKI Jakarta,14 hari yang lalu,
202,System Analyst,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Accounting,4,ScaleOcean,Grogol Petamburan,Jakarta Barat,DKI Jakarta,Kemarin,
203,Project Analyst,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),ERP Software,5,PT Shan Informasi Sistem,Cengkareng,Jakarta Barat,DKI Jakarta,3 hari yang lalu,Rp 6 jt-8 jt
204,Marketing Analyst,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Digital Marketing,3,Skinex,Pondok Aren,Tangerang Selatan,Banten,6 hari yang lalu,"Rp 4,5 jt-6,5 jt"
205,Financial Analyst,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Analytical Skills,4,PT Sinergi Medika Utama,Cengkareng,Jakarta Barat,DKI Jakarta,6 hari yang lalu,Rp 7 jt-13 jt
206,Business Analyst,,,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Business Development,3,IDE Asia,Mampang Prapatan,Jakarta Selatan,DKI Jakarta,6 hari yang lalu,Rp 5 jt-17 jt
207,Data Research Senior,,,Penuh Waktu,3 – 5 tahun,Minimal Diploma (D1 - D4),Statistical Data Analysis,3,PT. JBA INDONESIA,Grogol Petamburan,Jakarta Barat,DKI Jakarta,22 hari yang lalu,Rp 6 jt-8 jt
208,Staff Data Management,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Power BI,8,PT Kreasiboga Primatama,Senen,Jakarta Pusat,DKI Jakarta,1 jam yang lalu,"Rp 4,5 jt-8 jt"
209,System Analyst - Banking Industry,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),System Analysis,7,PT Sigma Global Teknologi,Tanah Abang,Jakarta Pusat,DKI Jakarta,1 bulan yang lalu,Rp 10 jt-13 jt
210,Business Analyst (Pricing Analyst),,,Remote/Dari rumah,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),8,Y Ventures Group Ltd.,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,16 hari yang lalu,Rp 7 jt-13 jt
211,Data Engineer,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Java,5,PT Data Labs Analytics,Tanah Abang,Jakarta Pusat,DKI Jakarta,1 jam yang lalu,"Rp 5,5 jt-7,5 jt"
212,Data Engineer,,,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),SQL,3,PT. Dynamics Management Solution,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,2 hari yang lalu,Rp 10 jt-20 jt
213,Data Engineer,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Microsoft SQL Server,7,Indivara Teknologi Quantum,Taman Sari,Jakarta Barat,DKI Jakarta,5 hari yang lalu,Rp 12 jt-14 jt
214,Data Governance,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),IT Security,7,Indivara Teknologi Quantum,Taman Sari,Jakarta Barat,DKI Jakarta,5 hari yang lalu,Rp 10 jt-13 jt
215,Data Engineer - Banking,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Visual Studio .net,3,PT Sigma Global Teknologi,Setiabudi,Jakarta Selatan,DKI Jakarta,20 hari yang lalu,Rp 8 jt-9 jt
216,Data Engineer,,,Remote/Dari rumah,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),7,XCIDIC,Kembangan,Jakarta Barat,DKI Jakarta,23 hari yang lalu,"Rp 6,5 jt-10 jt"
217,System Analyst,,,Hybrid,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),7,PT Digitalinstincts Technology,Kelapa Gading,Jakarta Utara,DKI Jakarta,7 hari yang lalu,Rp 8 jt-12 jt
218,DATA ENGINEER,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Loading (etl),3,PT. Kulego Tiga Kreasi,Grogol Petamburan,Jakarta Barat,DKI Jakarta,1 bulan yang lalu,Rp 7 jt-15 jt
219,Fraud Analyst,,,Kontrak,1 – 3 tahun,Minimal Diploma (D1 - D4),Risk Management,3,PT. Nawa Data Solutions,Menteng,Jakarta Pusat,DKI Jakarta,Kemarin,Rp 7 jt-10 jt
220,Logistics Analyst,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Warehouse Management,4,Pt. Sinotrans Csc Indonesia,Setiabudi,Jakarta Selatan,DKI Jakarta,19 hari yang lalu,Rp 5 jt-7 jt
221,Social Media Analyst,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Affiliate Marketing,6,PT. Harfia Construction Machinery,Balaraja,Kab. Tangerang,Banten,5 hari yang lalu,"Rp 1,5 jt-3 jt"
222,Support Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Communication Skills,6,PT. Pinteraktif Media Cabang Bandung,Cibeunying Kaler,Bandung,Jawa Barat,Kemarin,"Rp 4 jt-4,5 jt"
223,IT System Analyst,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Diploma (D1 - D4),.NET,9,PT ARKAMAYA.,Bandung Kidul,Bandung,Jawa Barat,27 hari yang lalu,
224,IT System Analyst,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Diploma (D1 - D4),Go / Golang,4,PT Sigma Global Teknologi,Setiabudi,Jakarta Selatan,DKI Jakarta,27 hari yang lalu,
225,Data Engineer,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Kanban,10,PT Avows Technologies,Setiabudi,Jakarta Selatan,DKI Jakarta,6 hari yang lalu,"Rp 6 jt-7,5 jt"
226,General Data Analyst for Marketing Assistant,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Communication Skills,7,Xprojects Studio,Rungkut,Surabaya,Jawa Timur,8 hari yang lalu,"Rp 2 jt-3,5 jt"
227,System Analyst,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),SQL,4,PT Sigma Global Teknologi,Tanjung Priok,Jakarta Utara,DKI Jakarta,10 hari yang lalu,"Rp 8,5 jt-9 jt"
