,Job_Title,Information,Company_Type,Job_Contract,Experience,Education,Required_Skills,Skills,Company,Location,City,Province,Job_Posting,Salary
25,Business System Analyst,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Microsoft Office,4,PT Evolusi Teknologi Indonesia (Evoteks),Gambir,Jakarta Pusat,DKI Jakarta,27 hari yang lalu,Rp 7 jt-10 jt
26,Finance Analyst,,Perusahaan Premium,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),Managerial Finance,4,Geekhunter,Setiabudi,Jakarta Selatan,DKI Jakarta,2 jam yang lalu,Rp 7 jt-12 jt
27,Credit Analyst,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Corporate Finance,3,PT BPR Daya Perdana Nusantara,Cimanggis,Depok,Jawa Barat,1 bulan yang lalu,"Rp 6,5 jt-8 jt"
28,Data Engineer,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Java,5,PT Data Labs Analytics,Tanah Abang,Jakarta Pusat,DKI Jakarta,1 jam yang lalu,"Rp 5,5 jt-7,5 jt"
29,Business Analyst Intern,,,Hybrid,Magang,Kurang dari setahun,Minimal Sarjana (S1),8,Phintraco Group,Medan Satria,Bekasi,Jawa Barat,9 hari yang lalu,Rp 1 jt-2 jt
30,Marketing Analyst,,,Penuh Waktu,Minimal SMA/SMK,Digital Marketing,Social Media Marketing & Management,3,JogjaIstimewa Kontraktor,Kapanewon Piyungan,Kab. Bantul,DI Yogyakarta,24 hari yang lalu,Rp 2 jt-3 jt
31,Media Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Article Writing,5,PT Konten Media Berjejaring,Kartasura,Kab. Sukoharjo,Jawa Tengah,24 hari yang lalu,"Rp 2 jt-2,5 jt"
32,Lead Generation Analyst,,,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Computer Skills,5,College of Contract Management United Kingdom,Setiabudi,Jakarta Selatan,DKI Jakarta,10 hari yang lalu,Rp 3 jt-4 jt
33,Credit Analyst Ass Manager,,,Penuh Waktu,5 – 10 tahun,Minimal Sarjana (S1),Analytical Skills,6,PT. Internusa Tribuana Citra Multi Finance (ITC Multi Finance),Pademangan,Jakarta Utara,DKI Jakarta,28 hari yang lalu,Rp 15 jt-20 jt
34,Intern Research Analyst,,,Magang,Kurang dari setahun,Minimal Sarjana (S1),Responsible,3,MY Media,Kebayoran Lama,Jakarta Selatan,DKI Jakarta,13 hari yang lalu,"Rp 1 jt-1,5 jt"
35,Corporate Finance Analyst,,,Hybrid,Paruh Waktu,1 – 3 tahun,Minimal SMA/SMK,3,RM. Sabrang Palito,Ujung Berung,Bandung,Jawa Barat,14 hari yang lalu,"Rp 1,5 jt-2,5 jt"
36,Marketing Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Tiktok Ads,7,DWIMANUNGGAL INDONESIA,Kapanewon Sewon,Kab. Bantul,DI Yogyakarta,1 bulan yang lalu,"Rp 2,5 jt-3,5 jt"
37,Marketing Analyst,,,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Hard Worker,3,PT Kresna Reksa Finance Surabaya,Balikpapan Kota,Balikpapan,Kalimantan Timur,1 bulan yang lalu,Rp 3 jt-4 jt
38,Marketing Analyst (TUKU),,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Market Research,3,PT Makna Angan Karya Andanu (PT MAKA),Cilandak,Jakarta Selatan,DKI Jakarta,16 hari yang lalu,"Rp 6,5 jt-7,5 jt"
39,Marketplace Marketing Analyst,,,Penuh Waktu,Minimal SMA/SMK,Social Media Analytics,Content Writing,7,PT Meianshun Trading Indonesia,Penjaringan,Jakarta Utara,DKI Jakarta,17 hari yang lalu,Rp 8 jt-21 jt
40,IT Business Analyst,,,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Opentext Uft One,4,Accelist Lentera Indonesia,Tanjung Priok,Jakarta Utara,DKI Jakarta,17 hari yang lalu,Rp 9 jt-13 jt
41,Quality Control Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Quality Control,3,PT Van Aroma,Gunung Putri,Kab. Bogor,Jawa Barat,17 hari yang lalu,"Rp 4,7 jt-5,5 jt"
42,Senior Data Engineer,,,Penuh Waktu,5 – 10 tahun,Minimal Sarjana (S1),ETL,13,PT Sinergi Performa Cipta,Tangerang,Tangerang,Banten,2 hari yang lalu,Rp 15 jt-25 jt
43,Electrical Engineer Data Center,,,Penuh Waktu,3 – 5 tahun,Minimal Diploma (D1 - D4),Electrical,3,PT Lotus Lestari Raya (Lotus Solusindo),Cikarang Utara,Kab. Bekasi,Jawa Barat,27 hari yang lalu,Rp 10 jt-12 jt
44,Corporate Credit Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Communication Skills,3,PT Clemont Finance Indonesia,Pancoran,Jakarta Selatan,DKI Jakarta,22 hari yang lalu,"Rp 4,5 jt-6 jt"
45,Technical Infrastructure Data Center,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),CCNA,6,PT EZSVS Technology Indonesia,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,1 bulan yang lalu,Rp 8 jt-12 jt
46,Corporate Planning Analyst,,,Penuh Waktu,5 – 10 tahun,Minimal Sarjana (S1),Accounting,3,Lima Pilar Resources,Setiabudi,Jakarta Selatan,DKI Jakarta,24 hari yang lalu,Rp 10 jt-15 jt
47,Investment Analyst Intern,,,Magang,Kurang dari setahun,Minimal Sarjana (S1),Financial Statements,3,PT Qverse Teknologi Indonesia,Pasar Minggu,Jakarta Selatan,DKI Jakarta,27 hari yang lalu,Rp 2 jt
48,Analis Kimia,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Teamwork,5,PT. Sanova,Cikarang Timur,Kab. Bekasi,Jawa Barat,21 hari yang lalu,"Rp 5,8 jt-6 jt"
49,IT BUSINESS ANALYST,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Teamwork,4,PT Prawathiya Karsa Pradiptha,Jatisampurna,Bekasi,Jawa Barat,1 bulan yang lalu,Rp 1 jt-5 jt
50,Business Analyst (ITBA),,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Business Analysis,5,Yodu E Money,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,1 bulan yang lalu,Rp 6 jt-12 jt
51,Data Compliance Support,,,Kontrak,1 – 3 tahun,Minimal Diploma (D1 - D4),Legal Compliance,6,PT. Cura Indonesia,Denpasar Selatan,Denpasar,Bali,9 hari yang lalu,"Rp 4,5 jt-6,5 jt"
52,R&D System Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),System Analysis,6,PT Usaha Kreatif Indonesia,Penjaringan,Jakarta Utara,DKI Jakarta,Kemarin,Rp 8 jt-12 jt
53,Data Monitoring Internship,,,Penuh Waktu,Kurang dari setahun,Minimal Diploma (D1 - D4),Attention to Detail,3,Turnkey Group,Kemantren Tegalrejo,Yogyakarta,DI Yogyakarta,20 hari yang lalu,Rp 1 jt-2 jt
